                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6835,                  1.917,                 1.7182,                0.40308,                0.34667,                0.30598,                0.12297,                 2.1087,                 2.4025,                 2.1878,              0.0006655,              0.0006655,              0.0006655
                      2,                  1.793,                 2.0331,                 1.8511,                 0.4906,                0.37095,                0.37795,                0.15817,                 1.9574,                  2.094,                 1.9814,              0.0013119,              0.0013119,              0.0013119
                      3,                 1.7661,                 1.9834,                 1.8242,                0.48028,                0.43048,                0.42416,                0.17954,                 1.9238,                 1.9614,                 1.9065,              0.0019379,              0.0019379,              0.0019379
                      4,                 1.6862,                 1.8789,                 1.7732,                0.55169,                0.49952,                0.51924,                0.24381,                  1.823,                 1.7924,                 1.8498,              0.0019086,              0.0019086,              0.0019086
                      5,                  1.614,                 1.7647,                   1.71,                0.64467,                0.51619,                0.57796,                0.27516,                 1.7637,                 1.5129,                 1.7825,              0.0019086,              0.0019086,              0.0019086
                      6,                 1.5719,                 1.6577,                 1.6695,                0.65164,                0.51333,                0.58028,                0.27779,                 1.7126,                 1.5827,                 1.7241,              0.0018782,              0.0018782,              0.0018782
                      7,                 1.5155,                 1.5804,                 1.6227,                0.67521,                 0.6019,                0.66094,                0.34158,                 1.5893,                 1.4645,                 1.6497,              0.0018477,              0.0018477,              0.0018477
                      8,                 1.4927,                 1.5226,                 1.6035,                0.70304,                0.56905,                0.65232,                0.35073,                 1.5968,                 1.3277,                 1.6075,              0.0018172,              0.0018172,              0.0018172
                      9,                 1.4718,                 1.4783,                  1.582,                0.73567,                0.61524,                0.69038,                0.36513,                 1.5735,                 1.2856,                 1.5898,              0.0017868,              0.0017868,              0.0017868
                     10,                 1.4397,                 1.4378,                 1.5678,                0.74955,                0.61425,                0.70798,                0.38358,                 1.5416,                 1.2328,                 1.5657,              0.0017563,              0.0017563,              0.0017563
                     11,                 1.4156,                 1.3879,                 1.5383,                0.75346,                0.63095,                0.72428,                0.39887,                 1.5079,                 1.1969,                 1.5573,              0.0017258,              0.0017258,              0.0017258
                     12,                 1.3966,                 1.3547,                 1.5286,                0.75742,                0.64238,                0.73085,                0.40706,                 1.4498,                 1.1209,                 1.5137,              0.0016954,              0.0016954,              0.0016954
                     13,                 1.3674,                 1.3162,                 1.5021,                0.77912,                0.64286,                0.73986,                0.43136,                 1.4117,                 1.1252,                 1.4773,              0.0016649,              0.0016649,              0.0016649
                     14,                 1.3692,                 1.2883,                 1.4982,                0.77065,                0.66242,                0.75035,                0.42041,                 1.4936,                 1.0972,                 1.5198,              0.0016345,              0.0016345,              0.0016345
                     15,                 1.3462,                 1.2558,                 1.4795,                0.78803,                0.68513,                 0.7607,                0.44415,                 1.3967,                 1.0699,                 1.4424,               0.001604,               0.001604,               0.001604
                     16,                 1.3269,                 1.2277,                 1.4644,                0.74818,                0.68571,                0.76012,                0.44932,                 1.3916,                 1.0624,                 1.4513,              0.0015735,              0.0015735,              0.0015735
                     17,                 1.3153,                  1.197,                 1.4522,                0.79857,                0.69849,                0.78477,                 0.4639,                 1.3631,                0.98606,                 1.4066,              0.0015431,              0.0015431,              0.0015431
                     18,                 1.2941,                 1.1697,                 1.4368,                0.81055,                0.67844,                0.78303,                0.46736,                 1.3579,                0.97349,                 1.4129,              0.0015126,              0.0015126,              0.0015126
                     19,                 1.2867,                  1.156,                 1.4349,                0.80598,                0.68238,                0.78634,                0.47261,                 1.3369,                0.97554,                 1.3949,              0.0014822,              0.0014822,              0.0014822
                     20,                 1.2625,                 1.1269,                 1.4237,                0.82083,                0.71339,                0.80634,                0.48286,                 1.3401,                0.93574,                 1.3935,              0.0014517,              0.0014517,              0.0014517
                     21,                 1.2499,                 1.1001,                 1.4062,                0.83654,                0.69476,                0.79722,                0.47737,                 1.3454,                 0.9764,                 1.4245,              0.0014212,              0.0014212,              0.0014212
                     22,                 1.2387,                 1.0917,                 1.3982,                0.83389,                0.71715,                0.81124,                0.50046,                  1.289,                0.91049,                 1.3754,              0.0013908,              0.0013908,              0.0013908
                     23,                 1.2255,                 1.0699,                 1.3896,                0.82523,                0.70952,                0.80702,                0.49774,                 1.2891,                0.90786,                 1.3586,              0.0013603,              0.0013603,              0.0013603
                     24,                 1.2135,                 1.0433,                 1.3759,                 0.8405,                0.71143,                0.81588,                0.50622,                 1.2809,                0.88675,                 1.3604,              0.0013298,              0.0013298,              0.0013298
                     25,                 1.2033,                 1.0325,                 1.3686,                0.84472,                0.72016,                 0.8162,                0.50866,                 1.2484,                0.87161,                 1.3415,              0.0012994,              0.0012994,              0.0012994
                     26,                 1.1808,                 1.0095,                  1.357,                0.83496,                0.72905,                0.81536,                 0.5159,                 1.2505,                0.87007,                 1.3308,              0.0012689,              0.0012689,              0.0012689
                     27,                 1.1762,                0.98754,                 1.3433,                0.83369,                0.71095,                0.81156,                0.51015,                 1.2645,                0.86391,                 1.3405,              0.0012385,              0.0012385,              0.0012385
                     28,                 1.1582,                0.97641,                 1.3394,                0.83508,                0.72571,                0.81904,                0.52145,                 1.2237,                0.84813,                 1.3132,               0.001208,               0.001208,               0.001208
                     29,                  1.158,                0.96711,                 1.3369,                0.85616,                0.73413,                0.82631,                0.52174,                 1.2397,                0.83729,                 1.3234,              0.0011775,              0.0011775,              0.0011775
                     30,                 1.1431,                0.94519,                  1.324,                0.83169,                0.73476,                0.82862,                0.53187,                 1.2164,                0.81994,                 1.2923,              0.0011471,              0.0011471,              0.0011471
                     31,                 1.1389,                0.94023,                 1.3168,                0.83872,                0.73952,                0.83144,                 0.5359,                 1.2007,                0.80565,                 1.2916,              0.0011166,              0.0011166,              0.0011166
                     32,                 1.1187,                0.91291,                 1.3072,                0.83435,                0.75095,                0.83239,                0.53973,                 1.1956,                 0.7918,                  1.294,              0.0010862,              0.0010862,              0.0010862
